shop_date,offer_id,dev_name,regular_price,final_price,discount_vbucks,discount_pct,is_discounted,in_date,out_date,giftable,refundable,sort_priority,layout_id,layout_name,layout_rank,layout_display_type,tile_size,offer_tag,is_bundle,bundle_name,items_in_offer,item_kind,item_id,item_name,item_type,item_rarity,item_series,item_set,item_intro_chapter,item_intro_season,item_added
2026-09-15,v2:/4c2a3f5d6776c95e0f4addb56b0b39649c9b71b329562620ff3919508a2d45a5,"[VIRTUAL]1 x Revolver, 1 x The Number, 1 x Power GT, 1 x Slipstream Edge, 1 x Cruise Caliber, 1 x Solid Gold for -1 MtxCurrency",1500,1500,0,0.0,0,2026-09-09T00:00:00Z,2026-09-15T23:59:59.999Z,1,0,-1,Revolver,Revolver,177,tileGrid,Size_3_x_1,Decals in this bundle are restricted to the Revolver car body.,1,Revolver,6,car,CarSkin_Zusegold,Solid Gold,skin,uncommon,,,,,2025-02-21T12:16:05Z
2026-09-15,v2:/cf01c1454898861e1ac1ff41b742f3633f17f61e2b9368e35d78b9593ddb8d56,[VIRTUAL]1 x Fast Feet for 500 MtxCurrency,500,500,0,0.0,0,2026-09-12T00:00:00Z,2026-09-15T23:59:59.999Z,1,0,-4,VV091526,Party Moves,194,tileGrid,Size_1_x_1,,0,,1,br,EID_BlueApparel,Fast Feet,emote,icon,Icon Series,,4,2,2023-05-05T00:00:00Z
2026-09-15,v2:/e28321cb1c82b60455670752145b143681507e9e02b21378b3086998cba1f611,[VIRTUAL]1 x Energy Burn for 500 MtxCurrency,500,500,0,0.0,0,2026-09-13T00:00:00Z,2026-09-15T23:59:59.999Z,1,0,-3,TypicalGamerIcons,Typical Gamer,181,tileGrid,Size_1_x_1,,0,,1,br,Wrap_QuarterClaspZoom,Energy Burn,wrap,icon,Icon Series,Typical Gamer,7,2,2026-05-24T21:01:00Z
2026-09-15,v2:/10173d9f4667bea37ba53a91ac615cffdea1440a96f406fa38e2bf7dc5f324b6,[VIRTUAL]1 x Industry Baby for 500 MtxCurrency,500,500,0,0.0,0,2026-09-01T00:00:00Z,2026-09-30T23:59:59.999Z,1,0,-24,JT091426,Jam Tracks,182,expandableList,Size_1_x_1,,0,,1,track,sid_placeholder_09,Industry Baby,,,,,,,2024-11-07T17:50:41Z
2026-09-15,v2:/63e8915b99ee86cda3f556b28718e4501042aea0738c71e6f935d23ae06c17f9,"[VIRTUAL]1 x Ryū Ichimonji, 1 x Ryū Ichimonji for 800 MtxCurrency",800,800,0,0.0,0,2026-09-12T00:00:00Z,2026-09-16T23:59:59.999Z,1,0,-6,Overwatch,Overwatch,190,tileGrid,Size_1_x_1,,0,,2,br,Pickaxe_FacetBlom,Ryū Ichimonji,pickaxe,gaminglegends,Gaming Legends Series,Overwatch,7,2,2026-05-14T09:00:00Z
2026-09-15,v2:/63e8915b99ee86cda3f556b28718e4501042aea0738c71e6f935d23ae06c17f9,"[VIRTUAL]1 x Ryū Ichimonji, 1 x Ryū Ichimonji for 800 MtxCurrency",800,800,0,0.0,0,2026-09-12T00:00:00Z,2026-09-16T23:59:59.999Z,1,0,-6,Overwatch,Overwatch,190,tileGrid,Size_1_x_1,,0,,2,br,Backpack_FacetBlom,Ryū Ichimonji,backpack,gaminglegends,Gaming Legends Series,Overwatch,7,2,2026-05-14T09:00:00Z
2026-09-15,v2:/c5f15bf11f2fd6f2f1083deadbe11199cbd08ed619a4f281b542bba1fd28b3c2,[VIRTUAL]1 x Seven Nation Army for 500 MtxCurrency,500,500,0,0.0,0,2026-09-01T00:00:00Z,2026-09-30T23:59:59.999Z,1,0,-2,JT091426,Jam Tracks,182,expandableList,Size_1_x_1,,0,,1,track,sid_placeholder_36,Seven Nation Army,,,,,,,2023-12-09T15:00:00Z
2026-09-15,v2:/ca5009e7eceb8c8c66989efb88bd33721a999acc13c4ea777dc766c01139f71d,"[VIRTUAL]1 x Jellie, 1 x Shellie for -1 MtxCurrency",1200,1200,0,0.0,0,2026-09-15T00:00:00Z,2026-09-21T23:59:59.999Z,1,0,-6,BR091526,Full Flex,186,tileGrid,Size_1_x_1,,0,,2,br,CID_664_Athena_Commando_M_Gummi,Jellie,outfit,rare,,Fish Food,2,1,2020-01-15T09:35:50Z
2026-09-15,v2:/ca5009e7eceb8c8c66989efb88bd33721a999acc13c4ea777dc766c01139f71d,"[VIRTUAL]1 x Jellie, 1 x Shellie for -1 MtxCurrency",1200,1200,0,0.0,0,2026-09-15T00:00:00Z,2026-09-21T23:59:59.999Z,1,0,-6,BR091526,Full Flex,186,tileGrid,Size_1_x_1,,0,,2,br,BID_454_Gummi,Shellie,backpack,rare,,Fish Food,2,1,2020-01-15T09:35:49Z
2026-09-15,v2:/bf9adaa9805f5c100ef9cca564983e018949c7f6708e81a23b87a3c2f54bbc12,[VIRTUAL]1 x Buddy Holly for 500 MtxCurrency,500,500,0,0.0,0,2026-09-01T00:00:00Z,2026-09-30T23:59:59.999Z,1,0,-16,JT091426,Jam Tracks,182,expandableList,Size_1_x_1,,0,,1,track,sid_placeholder_25,Buddy Holly,,,,,,,2023-12-14T00:00:00Z
